date,barangay,brgy,confirmed_cases,deaths,recovered,active_cases,new_cases,moveave,new_deaths,moveave_deaths,new_recovered,moveave_recovered
27may2020,22,Malabon City,135,20,58,57,4,5,1,.7142857142857143,4,3
28may2020,22,Malabon City,140,20,59,61,5,5.714285714285714,0,.7142857142857143,1,2.857142857142857
29may2020,22,Malabon City,150,20,59,71,10,5.571428571428571,0,.4285714285714285,0,2.428571428571428
30may2020,22,Malabon City,151,21,59,71,1,5.571428571428571,1,.5714285714285714,0,2.285714285714286
31may2020,22,Malabon City,157,23,60,74,6,4.857142857142857,2,.8571428571428571,1,1.428571428571429
01jun2020,22,Malabon City,161,23,61,77,4,5.428571428571429,0,.7142857142857143,1,1.571428571428571
02jun2020,22,Malabon City,172,24,62,86,11,5.857142857142857,1,.7142857142857143,1,1.142857142857143
03jun2020,22,Malabon City,181,24,62,95,9,6.571428571428571,0,.5714285714285714,0,.5714285714285714
04jun2020,22,Malabon City,204,26,66,112,23,9.142857142857142,2,.8571428571428571,4,1
05jun2020,22,Malabon City,222,28,73,121,18,10.28571428571429,2,1.142857142857143,7,2
06jun2020,22,Malabon City,230,29,75,126,8,11.28571428571429,1,1.142857142857143,2,2.285714285714286
07jun2020,22,Malabon City,235,30,81,124,5,11.14285714285714,1,1,6,3
08jun2020,22,Malabon City,238,31,82,125,3,11,1,1.142857142857143,1,3
09jun2020,22,Malabon City,260,32,85,143,22,12.57142857142857,1,1.142857142857143,3,3.285714285714286
10jun2020,22,Malabon City,268,34,86,148,8,12.42857142857143,2,1.428571428571429,1,3.428571428571428
11jun2020,22,Malabon City,272,36,95,141,4,9.714285714285714,2,1.428571428571429,9,4.142857142857143
12jun2020,22,Malabon City,282,36,95,151,10,8.571428571428571,0,1.142857142857143,0,3.142857142857143
13jun2020,22,Malabon City,292,36,96,160,10,8.857142857142858,0,1,1,3
14jun2020,22,Malabon City,297,37,96,164,5,8.857142857142858,1,1,0,2.142857142857143
15jun2020,22,Malabon City,304,40,97,167,7,9.428571428571429,3,1.285714285714286,1,2.142857142857143
16jun2020,22,Malabon City,315,41,118,156,11,7.857142857142857,1,1.285714285714286,21,4.714285714285714
17jun2020,22,Malabon City,323,42,128,153,8,7.857142857142857,1,1.142857142857143,10,6
18jun2020,22,Malabon City,337,42,131,164,14,9.285714285714286,0,.8571428571428571,3,5.142857142857143
19jun2020,22,Malabon City,346,44,134,168,9,9.142857142857142,2,1.142857142857143,3,5.571428571428571
20jun2020,22,Malabon City,355,46,137,172,9,9,2,1.428571428571429,3,5.857142857142857
